Question,Answer
Is there anyone else from Hyderabad?,"Yes, there are a few students from Hyderabad."
How's the weather in Bahrain?,It's really hot during the summer.
Is there a music or dance club at IIITK?,Dance is active but the music club is less active.
When will college start for us?,Your batch will start on the 10th of August.
Is there a fresher's party?,"No, but there is an Adavya festival in the first semester."
What are the total students in college?,"Approximately 1800 students, including the new batch."
Is 75% attendance mandatory?,"No, 80% attendance is mandatory."
Are there any football facilities?,"Yes, there is a ground for both football and cricket."
Do we have a gym at the college?,"Yes, there are both indoor and outdoor gym facilities."
How many girls are there in the batch?,Around 10-15% of the batch are girls.
Do we have photography/videography clubs?,"Yes, there is a photography and videography club."
Are there any holiday trips organized?,Students do organize trips during the holidays.
Is there a cricket ground?,"Yes, the same ground is used for cricket and football."
How many gyms are there?,There are two gyms: one indoor and one outdoor.
What is the attendance requirement?,80% attendance is mandatory.
How many students are in each batch?,Each batch consists of around 300-400 students.
What is the food like at IIITK?,There is a mess system that provides basic meals.
Do we have a library?,"Yes, there is a library available to students."
Are there any festivals or cultural events?,"Yes, events like Adavya and Apoorv are held during the year."
Is there a hostel facility?,"Yes, there are separate hostels for boys and girls."
Do we have Wi-Fi access?,"Yes, the campus is equipped with Wi-Fi."
Are there any weekend activities?,"Yes, clubs and organizations often organize activities on weekends."
Can I get my own vehicle to campus?,"Yes, but there are parking regulations."
What is the process for joining clubs?,Clubs have sign-up forms or interviews for new members.
Do we have any coding competitions?,"Yes, there are regular coding competitions organized."
What is the dress code for the college?,"There is no strict dress code, but decency is expected."
What is the grading system?,The grading system follows the 10-point CGPA scale.
Are there scholarships available?,"Yes, there are scholarships based on merit and financial need."
What is the placement record of the college?,"The college has a good placement record, especially for CSE students."
Do we have any medical facilities on campus?,"Yes, there is a health center on campus."
How is the ragging policy?,Ragging is strictly prohibited and punishable.
Is there a cafeteria?,"Yes, there is a cafeteria for snacks and refreshments."
Are there any international student exchange programs?,"Yes, the college has collaborations for student exchange programs."
Can we take leaves during the semester?,"Leave is allowed for valid reasons, but attendance should be maintained."
Are there any research opportunities?,"Yes, students can participate in research projects with faculty."
How is the transportation facility around campus?,There are buses and autos available around the campus.
Do we have alumni interaction sessions?,"Yes, there are sessions where alumni share their experiences."
Can we switch branches?,Branch change is allowed based on first-year performance and seat availability.
Are there any sports competitions?,"Yes, there are inter-college sports competitions held annually."
Do we have labs for practicals?,"Yes, there are well-equipped labs for various departments."
How is the faculty at IIITK?,The faculty is highly qualified and experienced in their fields.
Is there a dress code in hostels?,"There is no specific dress code in hostels, but modesty is expected."
Can we cook our own food in hostels?,"Cooking is not allowed in hostels, but there are canteens and mess facilities."
How many hostels are there?,"There are several hostels, with separate ones for boys and girls."
Are there any mentorship programs?,"Yes, there are mentorship programs where seniors guide juniors."
What is the library's timing?,The library is open from morning till late evening on weekdays.
Can we bring electronic gadgets to campus?,"Yes, you can bring gadgets, but they should not disturb others."
What are the timings for the mess?,"The mess serves breakfast, lunch, evening snacks, and dinner at scheduled times."
Are there part-time job opportunities?,Part-time opportunities are limited but available in some areas.
How is the security on campus?,The campus has good security with guards at every major point.
Do we have clubs for entrepreneurship?,"Yes, there are clubs like E-Cell for entrepreneurship enthusiasts."
Is it necessary to learn Malayalam to live there?,"No, you can manage with English or Hindi, though knowing Malayalam can help."
